Time, Weight
ACK_SYNC_SINGLE
Taring... Remove any weight.
Tare complete.
16:54:58.812, -550866
16:54:58.912, -550940
16:54:59.012, -550883
16:54:59.112, -550860
16:54:59.212, -550797
16:54:59.312, -550836
16:54:59.412, -550835
16:54:59.512, -550871
16:54:59.612, -550860
16:54:59.712, -550847
16:54:59.812, -550859
16:54:59.912, -550840
16:55:00.012, -550805
16:55:00.112, -550898
16:55:00.312, -550942
16:55:00.412, -550980
16:55:00.512, -550939
16:55:00.612, -550886
16:55:00.712, -550856
16:55:00.812, -550862
16:55:00.912, -550880
16:55:01.012, -550885
16:55:01.112, -550881
16:55:01.212, -550880
16:55:01.312, -550873
16:55:01.412, -550875
16:55:01.512, -550851
16:55:01.612, -550914
16:55:01.712, -550906
16:55:01.812, -550888
16:55:01.912, -550877
16:55:02.012, -550876
16:55:02.112, -550874
16:55:02.212, -550906
16:55:02.312, -550975
16:55:02.412, -550944
16:55:02.512, -550896
16:55:02.612, -550916
16:55:02.712, -550909
16:55:02.812, -550906
16:55:02.912, -550911
16:55:03.012, -550842
16:55:03.112, -550858
16:55:03.312, -550886
16:55:03.412, -550864
16:55:03.512, -550880
16:55:03.612, -550825
16:55:03.712, -550816
16:55:03.812, -550867
16:55:03.912, -550850
16:55:04.012, -550898
16:55:04.112, -550866
16:55:04.212, -550901
16:55:04.312, -550934
16:55:04.412, -550915
16:55:04.512, -550909
16:55:04.612, -550857
16:55:04.712, -550756
16:55:04.812, -550811
16:55:04.912, -550826
16:55:05.012, -550838
16:55:05.112, -550910
16:55:05.212, -550914
16:55:05.312, -550861
16:55:05.412, -550864
16:55:05.512, -550891
16:55:05.612, -550928
16:55:05.712, -550922
16:55:05.812, -550916
16:55:05.912, -550909
16:55:06.012, -550876
16:55:06.212, -550822
16:55:06.312, -550796
16:55:06.412, -550825
16:55:06.512, -550866
16:55:06.612, -550893
16:55:06.712, -550867
16:55:06.812, -550947
16:55:06.912, -550925
16:55:07.012, -550867
16:55:07.112, -550870
16:55:07.212, -550934
16:55:07.312, -550943
16:55:07.412, -550855
16:55:07.512, -550895
16:55:07.612, -550908
16:55:07.712, -550895
16:55:07.812, -550936
16:55:07.912, -550927
16:55:08.012, -550909
16:55:08.112, -550908
16:55:08.212, -550858
16:55:08.312, -550853
16:55:08.412, -550899
16:55:08.512, -550917
16:55:08.612, -550876
16:55:08.712, -550888
16:55:08.812, -550937
16:55:08.912, -550911
16:55:09.112, -550923
16:55:09.212, -550913
16:55:09.312, -550890
16:55:09.412, -550908
16:55:09.512, -550877
16:55:09.612, -550875
16:55:09.712, -550833
16:55:09.812, -550876
16:55:09.912, -550881
16:55:10.012, -550944
16:55:10.112, -550997
16:55:10.212, -550929
16:55:10.312, -550839
16:55:10.412, -550882
16:55:10.512, -550939
16:55:10.612, -550900
16:55:10.712, -550911
16:55:10.812, -551616
16:55:10.912, -564159
16:55:11.012, -566670
16:55:11.112, -556390
16:55:11.212, -573100
16:55:11.312, -591716
16:55:11.412, -598484
16:55:11.512, -603786
